subject,topic_id,topic_label,top_words,total_docs,first_year,last_year,early_proportion,late_proportion,slope,r_squared,p_value,trend
math,21,Random packing asymptotics,"random, walk, varepsilon, limit, process",449,2000,2025,0.007762,0.011928,0.00013376,0.0366,0.349368,STABLE
math,22,Einstein-Kähler metrics,"ricci, einstein, curvature, manifolds, conformal",675,2000,2025,0.036004,0.016471,-0.00091637,0.5692,8e-06,DECLINING
math,23,Super Lie identity theorems,"mathfrak, superalgebras, lie, gl, mathcal",383,2000,2025,0.015886,0.00989,-0.00042214,0.2267,0.013938,DECLINING
math,24,Fibre-space Hodge cohomology vanishing,"hler, cohomology, holomorphic, hodge, varieties",570,2000,2025,0.034212,0.014685,-0.00074589,0.4341,0.000252,DECLINING
math,25,Lamination geodesic convergence,"teichm, hyperbolic, ller, geodesics, geodesic",318,2000,2025,0.008549,0.008502,-0.00014195,0.0529,0.258367,STABLE
math,26,Random heap dynamics,"random, walks, walk, markov, probability",358,2000,2025,0.008564,0.010579,6.034e-05,0.0123,0.589995,STABLE
math,27,Noncommutative crepant resolutions,"modules, rings, rr, module, unlhd",628,2000,2025,0.019696,0.016551,-0.00023727,0.0679,0.198508,STABLE
math,28,Numerical PDE error analysis,"accuracy, numerical, error, order, time",528,2001,2025,0.002354,0.021864,0.00114199,0.8708,0.0,GROWING
math,29,Prime divisor asymptotics,"log, frac, primes, prime, 2k",357,2002,2025,0.010184,0.011018,0.00022532,0.1441,0.055754,STABLE
math,30,Fragmentation-coalescent processes,"population, branching, processes, process, offspring",343,2001,2025,0.01299,0.010112,6.249e-05,0.0067,0.690791,STABLE
math,31,Mirror symmetry i-functions,"mirror, invariants, equivariant, mathbb, mathrm",318,2000,2025,0.013678,0.008847,-0.00021554,0.1598,0.043052,DECLINING
math,32,Siegel uniformity conjecture,"mathbb, curves, ell, elliptic, diophantine",516,2000,2025,0.012688,0.015238,0.00011799,0.0367,0.348768,STABLE
math,33,Group embedding dimension bounds,"mathbb, groups, group, mathcal, mathrm",323,2000,2025,0.005598,0.010327,0.00010357,0.0217,0.472962,STABLE
math,34,Convex cone optimization,"optimization, convex, problems, problem, constraints",588,2005,2025,0.00303,0.024069,0.00131766,0.8822,0.0,GROWING
math,35,Galois cohomology obstructions,"mathbb, galois, groups, ramification, underline",389,2000,2025,0.017872,0.011504,-0.00027865,0.1119,0.094851,STABLE
math,36,Non-symplectic group actions,"symplectic, hamiltonian, mathbb, lcs, manifolds",690,2000,2025,0.052581,0.015074,-0.00176661,0.8474,0.0,DECLINING
math,37,Hodge-Frobenius manifolds,"hler, cohomology, manifolds, hodge, complex",541,2000,2025,0.041527,0.013766,-0.00121997,0.5579,1.2e-05,DECLINING
math,38,Signed domination complexity,"graph, graphs, dominating, gg, vertex",649,2000,2025,0.006968,0.022146,0.00103122,0.6697,0.0,GROWING
math,39,Reduced Khovanov homology,"khovanov, knot, knots, link, homology",419,2000,2025,0.020767,0.010399,-0.00057976,0.3973,0.000558,DECLINING
math,40,Contact manifold fillings,"contact, pin, manifolds, mathrm, surfaces",365,2000,2025,0.019127,0.010628,-0.00036283,0.284,0.005061,DECLINING
math,41,Martingale measure augmentation,"stochastic, processes, martingale, noise, time",494,2000,2025,0.006404,0.013544,0.00032861,0.0959,0.12364,STABLE
math,42,Multizeta q-values,"zeta, multiple, values, functions, shuffle",345,2000,2025,0.011455,0.008715,-0.00017076,0.0959,0.123698,STABLE
math,43,Pro pp group commensurability,"groups, mathcal, group, mathrm, finite",600,2000,2025,0.013133,0.016762,0.00015567,0.0505,0.269951,STABLE
math,44,n-ary bihom algebras,"lie, algebras, mathfrak, leibniz, rota",323,2000,2025,0.012518,0.008958,-0.00015392,0.0747,0.176752,STABLE
math,45,Non-smooth proximal gradient analysis,"gradient, stochastic, optimization, convergence, convex",777,2008,2025,0.003076,0.040566,0.00202589,0.8288,0.0,GROWING
math,46,Nonlocal diffusion regularity,"diffusion, equation, nonlocal, solutions, equations",536,2003,2025,0.005749,0.021858,0.00098018,0.8159,0.0,GROWING
math,47,Extended hypergeometric functions,"hypergeometric, functions, polynomials, integrals, hermite",466,2000,2025,0.019854,0.012282,-0.00021367,0.0953,0.124961,STABLE
math,48,Quadratic Gorenstein ideals,"ideals, mathcal, ldots, reg, ideal",429,2000,2025,0.022511,0.009849,-0.00060687,0.4343,0.000251,DECLINING
math,49,Moduli sheaf operator theory,"moduli, bundles, sheaves, ulrich, mathcal",511,2000,2025,0.022914,0.014919,-0.00050349,0.2579,0.008091,DECLINING
math,50,Singular Plateau Douglas Problem,"surfaces, varepsilon, boundary, minimal, curvature",484,2000,2025,0.012196,0.013899,0.0002194,0.0898,0.136895,STABLE
math,51,Exponential family mirror descent,"convergence, learning, inverse, optimization, problems",376,2007,2025,0.003557,0.018179,0.0008902,0.8757,0.0,GROWING
math,52,Heavy-tail renewal mixing times,"time, queue, markov, process, distribution",306,2003,2025,0.00831,0.008734,0.00032467,0.3001,0.003769,GROWING
math,53,Perfect divisibility graphs,"graphs, graph, gg, coloring, chromatic",1339,2002,2025,0.010284,0.051006,0.00225857,0.8334,0.0,GROWING
math,54,Operator regression acceleration,"optimization, convergence, gradient, learning, algorithm",608,2011,2025,0.007067,0.031754,0.00156857,0.8234,0.0,GROWING
math,55,Hardy space fractional operators,"operators, mathbb, boundedness, frac, spaces",301,2000,2025,0.005512,0.009486,0.00030977,0.3668,0.001043,GROWING
math,56,Hive-spectrum large deviations,"random, matrices, matrix, mathbb, spectral",659,2000,2025,0.015416,0.019214,0.00030576,0.1072,0.10251,STABLE
math,57,Decentralized consensus topologies,"distributed, optimization, communication, decentralized, convergence",364,2006,2025,0.004016,0.016871,0.00083494,0.8484,0.0,GROWING
math,58,Fano threefold geometry,"fano, varieties, picard, enc, mathbb",405,2000,2025,0.020682,0.011321,-0.00042946,0.3072,0.0033,DECLINING
math,59,Fractional Maximal Operators,"fractional, mathbb, operators, mathcal, spaces",590,2002,2025,0.005896,0.019681,0.00088115,0.6148,2e-06,GROWING
math,60,Complete intersection foliations,"foliations, foliation, mathbb, hypersurfaces, projective",651,2000,2025,0.033354,0.017353,-0.00074921,0.4755,9.7e-05,DECLINING
math,61,Physics-informed synthetic data generation,"neural, informed, learning, pdes, network",523,2017,2025,0.010545,0.036928,0.00150317,0.555,1.3e-05,GROWING
math,62,Operadic Kan extensions,"infty, category, categories, mathcal, operads",642,2000,2025,0.017308,0.024052,0.00040336,0.2126,0.017763,GROWING
