doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,min_docs,ngram_range,max_features,coherence,irbo
70,23,Boosting for Pattern Recognition,0.5264322757720947,39,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
72,0,Web Text Database Classification,0.8923032283782959,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
73,27,Data Mining Challenges,0.8358200788497925,49,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
74,28,Example-Based Metonymy Learning,0.5117858648300171,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
77,28,Example-Based Metonymy Learning,0.7567720413208008,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
80,90,Size-Based Termination Proofs,0.5809893608093262,241,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
83,35,Syllabic Language Modeling,0.5048850178718567,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
85,74,Intuitionistic Logic ASP,0.5596988201141357,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
87,28,Example-Based Metonymy Learning,0.5509355068206787,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
89,6,Type Class Extensions,0.5762725472450256,8,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
90,25,Computational Physics Patterns,0.7163812518119812,41,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
92,7,Dynamic Semantics Resolution,0.6811519265174866,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
93,13,Combinatorial Auction Optimization,0.7541128396987915,18,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
97,0,Web Text Database Classification,0.5824078917503357,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
100,3,Nonmonotonic Logic Encoding,0.5740872621536255,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
101,168,Termination Analysis Invariants,0.6251189112663269,435,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
103,7,Dynamic Semantics Resolution,0.6163630485534668,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
106,21,Corpus Annotation Integration,0.5752711296081543,30,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
107,10,Recursive Definition Systems,0.5830416083335876,15,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
109,27,Data Mining Challenges,0.569249153137207,49,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
110,35,Syllabic Language Modeling,0.5306345224380493,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
111,3,Nonmonotonic Logic Encoding,0.5797854661941528,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
112,72,Hybrid Automata State Space Analysis,0.519200325012207,180,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
115,50,Epistemic State Representation,0.506088376045227,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
119,28,Example-Based Metonymy Learning,0.5337584018707275,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
120,123,Open Source Astrophysics Code Repository,0.6773016452789307,342,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
123,3,Nonmonotonic Logic Encoding,0.5050962567329407,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
124,10,Recursive Definition Systems,0.5680339932441711,15,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
125,216,Universal Language Translation,0.5394763350486755,527,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
128,3,Nonmonotonic Logic Encoding,0.5823054313659668,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
129,35,Syllabic Language Modeling,0.5093662142753601,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
131,38,Algorithmic Logic Programming,0.6079052686691284,107,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
132,2,Parallel Debugging and Extension Language Debugging Systems,0.6097652912139893,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
135,29,Spec-Language Compilation,0.5846834778785706,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
136,90,Size-Based Termination Proofs,0.5858803987503052,241,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
137,118,Advice Complexity Mapping,0.514123797416687,329,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
138,10,Recursive Definition Systems,0.5104490518569946,15,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
142,35,Syllabic Language Modeling,0.5370174646377563,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
143,83,Quantum Communication Complexity,0.7693296670913696,225,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
146,12,Predictor-Based Parsing,0.548312783241272,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
149,85,Succinct Model Representation,0.5843164324760437,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
151,35,Syllabic Language Modeling,0.5267361402511597,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
153,50,Epistemic State Representation,0.5826191902160645,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
157,23,Boosting for Pattern Recognition,0.5180824398994446,39,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
158,33,Non-Well-Founded Coalgebra Theory,0.5898066759109497,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
160,12,Predictor-Based Parsing,0.5144079923629761,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
161,74,Intuitionistic Logic ASP,0.5593677163124084,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
162,10,Recursive Definition Systems,0.5984692573547363,15,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
164,50,Epistemic State Representation,0.7597896456718445,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
166,29,Spec-Language Compilation,0.5585335493087769,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
167,61,Grid VO Authorization Systems,0.6090547442436218,155,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
169,2,Parallel Debugging and Extension Language Debugging Systems,0.57658851146698,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
170,33,Non-Well-Founded Coalgebra Theory,0.5963138341903687,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
171,2,Parallel Debugging and Extension Language Debugging Systems,0.5045137405395508,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
174,171,Modifier-Monster Theory,0.5096883773803711,439,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
177,33,Non-Well-Founded Coalgebra Theory,0.6156586408615112,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
178,70,Runtime Monitoring Languages,0.5426722764968872,177,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
181,12,Predictor-Based Parsing,0.5065536499023438,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
182,24,Hamming Distance Approximation,0.7918864488601685,40,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
186,3,Nonmonotonic Logic Encoding,0.605643630027771,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
191,29,Spec-Language Compilation,0.6042584180831909,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
192,38,Algorithmic Logic Programming,0.5388942360877991,107,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
193,23,Boosting for Pattern Recognition,0.6319342851638794,39,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
195,50,Epistemic State Representation,0.7024146318435669,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
199,5,Novelty-Based Retrieval Evaluation,0.825151801109314,7,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
202,31,Causal Model Formalization,0.5065523386001587,57,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
204,12,Predictor-Based Parsing,0.5351109504699707,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
206,33,Non-Well-Founded Coalgebra Theory,0.5407727956771851,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
207,85,Succinct Model Representation,0.6008387804031372,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
208,123,Open Source Astrophysics Code Repository,0.6625484228134155,342,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
210,39,Virtual Organization Coordination,0.5083050727844238,108,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
213,212,Metric Entropy Analysis,0.5455223917961121,521,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
215,2,Parallel Debugging and Extension Language Debugging Systems,0.6421730518341064,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
216,19,Socio-Technical Collaboration Networks,0.5775237679481506,26,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
217,50,Epistemic State Representation,0.56307053565979,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
221,64,Handle-Based Networking,0.5063294172286987,163,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
226,38,Algorithmic Logic Programming,0.5331592559814453,107,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
228,85,Succinct Model Representation,0.628870964050293,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
232,74,Intuitionistic Logic ASP,0.6067267656326294,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
234,171,Modifier-Monster Theory,0.5321453809738159,439,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
236,29,Spec-Language Compilation,0.5779172778129578,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
237,0,Web Text Database Classification,0.5444852113723755,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
239,104,Dual Code Gray Mapping,0.573747992515564,297,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
241,3,Nonmonotonic Logic Encoding,0.6205706000328064,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
242,129,Uncertainty Measures Theory,0.503135085105896,352,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
244,1,AI Story Understanding,0.5934897065162659,2,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
249,3,Nonmonotonic Logic Encoding,0.6050179600715637,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
250,12,Predictor-Based Parsing,0.5663960576057434,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
251,83,Quantum Communication Complexity,0.6855665445327759,225,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
255,50,Epistemic State Representation,0.7473815679550171,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
258,159,Soft Channel Coding Exponents,0.5172183513641357,417,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
260,183,Multilingual Image Captioning,0.5512774586677551,463,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
262,7,Dynamic Semantics Resolution,0.550992488861084,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
263,35,Syllabic Language Modeling,0.5184188485145569,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
264,63,Natural Language Chatbot Limitations,0.5366237163543701,161,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
265,10,Recursive Definition Systems,0.6042718291282654,15,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
267,74,Intuitionistic Logic ASP,0.5754529237747192,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
268,12,Predictor-Based Parsing,0.60535728931427,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
269,122,Social Network Aggregation Dynamics,0.5535173416137695,341,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
270,96,Quantum Query Complexity,0.6890836954116821,266,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
274,31,Causal Model Formalization,0.512803852558136,57,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
278,2,Parallel Debugging and Extension Language Debugging Systems,0.5231519341468811,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
282,27,Data Mining Challenges,0.7519193887710571,49,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
283,28,Example-Based Metonymy Learning,0.5455412268638611,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
284,3,Nonmonotonic Logic Encoding,0.6103901863098145,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
286,35,Syllabic Language Modeling,0.5550596117973328,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
287,12,Predictor-Based Parsing,0.5399331450462341,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
288,91,Academic Invisible Web,0.5495182275772095,260,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
289,103,Rate-Distortion Testing,0.5170578956604004,293,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
290,92,Spam Mitigation Proof-of-Work,0.540215253829956,261,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
291,90,Size-Based Termination Proofs,0.6397180557250977,241,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
293,168,Termination Analysis Invariants,0.5978134870529175,435,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
295,28,Example-Based Metonymy Learning,0.5358549952507019,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
297,35,Syllabic Language Modeling,0.5529635548591614,80,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
303,63,Natural Language Chatbot Limitations,0.5401867032051086,161,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
304,5,Novelty-Based Retrieval Evaluation,0.5747569799423218,7,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
306,215,Range-Avoidance Circuit Complexity,0.5758970975875854,526,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
309,3,Nonmonotonic Logic Encoding,0.6086660623550415,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
310,216,Universal Language Translation,0.5098476409912109,527,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
311,127,Symbolic Argumentation Theory,0.6398469805717468,348,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
315,2,Parallel Debugging and Extension Language Debugging Systems,0.7058910727500916,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
316,74,Intuitionistic Logic ASP,0.625625729560852,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
317,0,Web Text Database Classification,0.5244982838630676,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
322,50,Epistemic State Representation,0.7034411430358887,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
325,30,Distributed Object Store Coherence,0.8405098915100098,52,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
328,7,Dynamic Semantics Resolution,0.6143131256103516,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
329,18,Variable Word Rate Modeling,0.589510977268219,24,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
331,0,Web Text Database Classification,0.6080885529518127,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
332,8,Repair-Based Speech Correction,0.5252236127853394,12,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
334,85,Succinct Model Representation,0.5152676105499268,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
335,54,Generic Case Complexity Analysis,0.5057864189147949,143,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
342,85,Succinct Model Representation,0.543962836265564,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
343,74,Intuitionistic Logic ASP,0.6060147285461426,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
346,3,Nonmonotonic Logic Encoding,0.5714417695999146,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
347,65,Blind Channel Invariant Speech Representation,0.5315721035003662,166,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
350,3,Nonmonotonic Logic Encoding,0.6381433010101318,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
355,29,Spec-Language Compilation,0.5665407776832581,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
358,127,Symbolic Argumentation Theory,0.5361986756324768,348,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
360,5,Novelty-Based Retrieval Evaluation,0.5272340774536133,7,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
361,168,Termination Analysis Invariants,0.6255911588668823,435,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
362,2,Parallel Debugging and Extension Language Debugging Systems,0.5422270894050598,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
365,85,Succinct Model Representation,0.6178674101829529,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
366,33,Non-Well-Founded Coalgebra Theory,0.6504886746406555,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
369,93,Grassmann Quantization Bounds,0.5985147953033447,262,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
372,41,Graph Realization Theory,0.5768563747406006,113,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
376,2,Parallel Debugging and Extension Language Debugging Systems,0.5546978712081909,3,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
377,29,Spec-Language Compilation,0.7957063913345337,51,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
380,125,Clifford-Toffoli Depth Reduction,0.547886848449707,344,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
386,70,Runtime Monitoring Languages,0.5814056396484375,177,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
391,50,Epistemic State Representation,0.6185168027877808,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
392,155,Characteristic-Driven Summarization,0.7291046380996704,412,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
393,74,Intuitionistic Logic ASP,0.5429559350013733,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
395,3,Nonmonotonic Logic Encoding,0.5683810114860535,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
396,16,Dynamic Market Optimization,0.5396806001663208,22,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
398,31,Causal Model Formalization,0.759148359298706,57,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
400,33,Non-Well-Founded Coalgebra Theory,0.5588046312332153,62,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
402,3,Nonmonotonic Logic Encoding,0.7452194690704346,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
403,109,Dynamic Network Optimization,0.5692543983459473,306,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
406,12,Predictor-Based Parsing,0.535033643245697,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
407,3,Nonmonotonic Logic Encoding,0.6419382095336914,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
410,50,Epistemic State Representation,0.570219099521637,137,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
