subject,topic_id,topic_label,top_words,total_docs,first_year,last_year,early_proportion,late_proportion,slope,r_squared,p_value,trend
cs,76,Temporal Fact Verification,"llms, reasoning, models, fact, llm",436,2012,2025,0.001698,0.007608,0.00035393,0.7384,0.0,GROWING
cs,77,Interpretable Neural Architectures,"interpretability, ai, interpretable, neural, explanations",294,2008,2025,0.002999,0.004796,0.00023623,0.5758,7e-06,GROWING
cs,78,Diffusion-Based Image Refinement,"diffusion, image, models, restoration, sampling",546,2010,2025,0.004545,0.008594,0.00044466,0.7161,0.0,GROWING
cs,79,Dietary Supplement CA Systems,"drug, clinical, ai, llms, medical",221,2013,2025,0.00207,0.00355,0.00017926,0.7573,0.0,GROWING
cs,80,Self-Supervised Embodied Learning,"embodied, visual, reasoning, learning, models",600,2014,2025,0.005234,0.009621,0.00049341,0.7312,0.0,GROWING
cs,81,Multilingual Image Captioning,"image, language, visual, multimodal, mllms",551,2000,2025,0.00781,0.008713,0.00035903,0.2865,0.004837,GROWING
cs,82,Human Feedback Modeling,"human, agent, learning, ai, agents",233,2009,2025,0.004243,0.003687,0.00018982,0.4859,7.6e-05,GROWING
cs,83,Hybrid Grasp Metrics,"manipulation, robot, grasping, grasp, object",397,2004,2025,0.005211,0.006531,0.00025847,0.3852,0.000717,GROWING
cs,84,Phoneme Granularity Contrastive Learning,"speech, asr, models, speaker, recognition",850,2006,2025,0.005534,0.014327,0.00074682,0.7056,0.0,GROWING
cs,85,Self-Supervised AST Pretraining,"audio, speech, speaker, supervised, emotion",645,2015,2025,0.005396,0.012244,0.00057323,0.7055,0.0,GROWING
cs,86,Multiset Hypergraph Learning,"graph, gnns, graphs, learning, gnn",1146,2012,2025,0.004377,0.020838,0.00101743,0.7549,0.0,GROWING
cs,87,Domain-Generalization MOT,"underwater, detection, fish, object, tracking",402,2008,2025,0.005834,0.006783,0.00034855,0.646,1e-06,GROWING
cs,88,Cross-Modal Prototype Matching,"retrieval, multimodal, text, video, visual",939,2005,2025,0.005696,0.016363,0.00075242,0.7786,0.0,GROWING
cs,89,Multilingual Entity Name Datasets,"entity, multilingual, language, knowledge, llms",347,2002,2025,0.023288,0.005046,-0.00042788,0.1326,0.0674,STABLE
cs,90,Self-Supervised Keypoint Detection,"3d, pose, human, point, estimation",779,2012,2025,0.004556,0.012587,0.00074396,0.6868,0.0,GROWING
cs,91,Neuromorphic CAD Systems,"energy, hardware, neuromorphic, neural, spiking",502,2005,2025,0.00421,0.007546,0.00043776,0.6362,1e-06,GROWING
cs,92,Point Cloud SSM Learning,"3d, anatomical, point, registration, shape",436,2015,2025,0.003154,0.007868,0.00037731,0.6541,1e-06,GROWING
cs,93,Periodic Universal Audio Synthesis,"audio, speech, tts, voice, synthesis",404,2006,2025,0.004826,0.00669,0.00035577,0.5077,4.4e-05,GROWING
cs,94,Cross-Lingual Scene Text SR,"text, image, resolution, ocr, super",273,2014,2025,0.006401,0.003758,0.00028005,0.4655,0.000123,GROWING
cs,95,Heat-Diffusion Generative Models,"diffusion, models, image, model, generation",293,2013,2025,0.003421,0.005243,0.00023903,0.4736,0.000102,GROWING
cs,96,Cross-Modality Clue Integration,"audio, multimodal, visual, modal, modality",692,2015,2025,0.00478,0.012435,0.00056828,0.7537,0.0,GROWING
cs,97,Compositional Attack Defense,"llms, llm, attacks, safety, jailbreak",854,2002,2025,0.003482,0.013433,0.0004825,0.2749,0.00597,GROWING
cs,98,Low-Resource Corpus Quality,"llms, language, languages, multilingual, models",476,2000,2025,0.012361,0.007819,-3.701e-05,0.0022,0.821014,STABLE
cs,99,Carbon-Aware Scheduling,"carbon, energy, scheduling, cloud, workloads",410,2001,2025,0.016216,0.005764,-0.0001335,0.0191,0.500551,STABLE
cs,100,Nerf Privacy Poisoning,"adversarial, attacks, attack, models, privacy",1231,2015,2025,0.011492,0.021704,0.00111711,0.6517,1e-06,GROWING
cs,101,Range-Avoidance Circuit Complexity,"log, circuits, mathbf, mathrm, circuit",218,2001,2025,0.02248,0.001584,-0.00089913,0.4961,5.9e-05,DECLINING
cs,102,Universal Language Translation,"language, llms, models, semantic, knowledge",535,2001,2025,0.008365,0.008432,0.00026336,0.1045,0.107205,STABLE
cs,103,Concept Bank Expansion,"video, retrieval, models, multimodal, text",529,2004,2025,0.006759,0.007597,0.0003347,0.2664,0.006948,GROWING
cs,104,Sketch-Based 3D Reconstruction,"sketch, 3d, sketches, cad, diffusion",263,2013,2025,0.003657,0.004148,0.00026072,0.5378,2e-05,GROWING
cs,105,Algorithmic Power Dynamics,"ai, governance, risks, oversight, ethical",236,2011,2025,0.002168,0.004069,0.00017577,0.5778,7e-06,GROWING
cs,106,Memristor-LLM Integration,"memory, llm, energy, hardware, llms",228,2012,2025,0.005175,0.002825,0.00021121,0.4007,0.000519,GROWING
cs,107,Latent Watermarking Systems,"watermarking, watermark, diffusion, image, watermarks",353,2006,2025,0.007372,0.005486,0.00014725,0.1129,0.093281,STABLE
cs,108,Gender Bias in MT Systems,"gender, bias, biases, llms, language",202,2016,2025,0.00172,0.003565,0.00016617,0.629,1e-06,GROWING
cs,109,Minecraft Planning Benchmarks,"planning, llms, reasoning, llm, robot",405,2000,2025,0.014824,0.005916,-0.00027558,0.0861,0.145708,STABLE
cs,110,LLM Ensemble Probability Fusion,"llms, llm, models, language, model",1704,2001,2025,0.005802,0.028452,0.0012436,0.6668,0.0,GROWING
cs,111,Dynamic Scene Decomposition,"3d, video, 4d, motion, scene",899,2013,2025,0.005483,0.014869,0.00071467,0.7821,0.0,GROWING
cs,112,Neural Spectral Continuation,"physics, neural, learning, informed, pdes",278,2017,2025,0.002812,0.005207,0.00022722,0.642,1e-06,GROWING
cs,113,Crowdsourced Attention Bias Mitigation,"bias, object, detection, segmentation, model",277,2013,2025,0.005631,0.003976,0.00028295,0.5098,4.2e-05,GROWING
cs,114,DP Multi-Sampling Approximation,"privacy, dp, private, differentially, data",301,2010,2025,0.004764,0.004957,0.00026674,0.6163,2e-06,GROWING
cs,115,GenAI in Education,"ai, students, education, genai, educators",216,2007,2025,0.004106,0.003502,0.00012906,0.2348,0.012119,GROWING
cs,116,Deformation-Based Diffusion Synthesis,"diffusion, image, mri, 3d, medical",504,2007,2025,0.006751,0.008363,0.00037089,0.4953,6e-05,GROWING
cs,117,Wildfire Multi-Agent Benchmarking,"agent, agents, agentic, llm, ai",311,2006,2025,0.002876,0.004753,0.00016927,0.2354,0.012002,GROWING
cs,118,Parallel Decoding Strategies,"reasoning, llms, models, llm, language",527,2015,2025,0.000735,0.007718,0.00032352,0.2895,0.004575,GROWING
cs,119,Sparse Attention Distillation,"video, attention, image, diffusion, models",1724,2010,2025,0.004989,0.0307,0.0013593,0.7275,0.0,GROWING
cs,120,Human-AI Co-Reasoning Benchmarks,"reasoning, ai, llms, agent, agents",521,2016,2025,0.000756,0.008111,0.00033357,0.3526,0.001384,GROWING
cs,121,Low-Resource Language Adaptation,"llms, language, models, multilingual, languages",1533,2013,2025,0.003747,0.02679,0.00124144,0.7393,0.0,GROWING
cs,122,Zero-Shot Lidar Completion,"3d, lidar, object, semantic, segmentation",1343,2002,2025,0.005245,0.023825,0.00108547,0.6927,0.0,GROWING
cs,123,Vision-Language Model Compression,"models, language, visual, vision, vlms",489,2018,2025,0.001109,0.00753,0.00030912,0.3247,0.002376,GROWING
cs,124,LLM Kernel Automatization,"gpu, llms, llm, training, models",645,2010,2025,0.005447,0.010286,0.00049461,0.7833,0.0,GROWING
cs,125,Pruning Impact Analysis,"unlearning, pruning, llms, models, language",314,2000,2025,0.007865,0.005869,-3.229e-05,0.0014,0.856795,STABLE
cs,126,Vision-Based Odometry Systems,"slam, odometry, lidar, navigation, localization",759,2012,2025,0.003442,0.012548,0.00070029,0.6964,0.0,GROWING
cs,127,Adversarial Motion Optimization,"learning, robot, policy, imitation, manipulation",584,2014,2025,0.00463,0.009482,0.00048681,0.762,0.0,GROWING
cs,128,Neural Field Dataset Compression,"data, image, models, training, learning",960,2011,2025,0.004751,0.01478,0.00088535,0.7266,0.0,GROWING
cs,129,EEG Foundation Model Taxonomy,"eeg, brain, ecg, decoding, models",455,2003,2025,0.008786,0.007481,0.00020995,0.1177,0.086137,STABLE
cs,130,Phenological Orchard Datasets,"plant, crop, agricultural, dataset, images",259,2015,2025,0.002265,0.004506,0.00021559,0.7561,0.0,GROWING
cs,131,Multi-Style Diffusion Fusion,"style, diffusion, image, text, generation",302,2016,2025,0.001975,0.005257,0.00023424,0.6376,1e-06,GROWING
cs,132,Embodied Affective Computing,"emotion, emotional, multimodal, affective, facial",221,2007,2025,0.002926,0.003401,0.00016693,0.4585,0.000145,GROWING
cs,133,Spiking Mamba Architectures,"spiking, snns, snn, spike, neural",273,2008,2025,0.002931,0.004183,0.00020449,0.6188,2e-06,GROWING
cs,134,Prompt Adaptive Scaling,"image, prompt, generation, visual, text",362,2018,2025,0.001989,0.005933,0.00023888,0.3699,0.00098,GROWING
cs,135,Multi-Layer Depth Ambiguity Resolution,"depth, 3d, spatial, scene, reasoning",533,2012,2025,0.004645,0.008393,0.00046787,0.8073,0.0,GROWING
cs,136,Diffusion-Based Optimization Learning,"diffusion, learning, optimization, training, gradient",667,2012,2025,0.005035,0.01155,0.00059206,0.7899,0.0,GROWING
cs,137,Script Transliteration Systems,"arabic, language, persian, llms, languages",271,2007,2025,0.002999,0.004756,0.00021548,0.5423,1.8e-05,GROWING
