doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,min_docs,ngram_range,max_features,coherence,irbo
95,35,Pulse-Level Beam Feedback,0.5468926429748535,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
96,22,Rotating Flow Dynamics,0.711991012096405,36,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
98,12,Fermi Gas Stability,0.55476975440979,18,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
101,165,Self-Fourier Beam Dynamics,0.5594925880432129,423,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
102,155,Soliton Pair Dynamics,0.6390892863273621,391,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
104,35,Pulse-Level Beam Feedback,0.6220588088035583,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
105,47,Radial Current Discharge Dynamics,0.5421753525733948,80,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
108,170,Antineutrino Source Design,0.5624212622642517,445,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
112,18,Free Electron Laser Synchrotron,0.5476208329200745,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
119,77,Nonlinear Scattering Dynamics,0.592957615852356,178,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
121,127,Laser-Assisted Tunneling Dynamics,0.6064300537109375,313,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
122,151,Signal-Processing Quantum Model,0.7101845145225525,377,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
125,78,Tokamak Flow Barriers,0.6239807605743408,180,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
127,62,Relativistic Common Sense,0.6132826805114746,129,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
128,28,Beam Polarization Advances,0.5314316749572754,42,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
129,18,Free Electron Laser Synchrotron,0.582974910736084,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
130,79,Forbidden Transition Spectroscopy,0.5560799837112427,182,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
132,12,Fermi Gas Stability,0.5702401399612427,18,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
133,85,Lattice Boltzmann Methods,0.5325914025306702,198,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
135,158,Excited State Perturbation Theory,0.6477711796760559,406,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
138,6,Bell-Inequality Tests,0.6031794548034668,11,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
147,46,Gravitational-Wave Absorption Dynamics,0.5882161855697632,79,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
149,103,Rotating Surface Solitons,0.5723603367805481,246,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
150,151,Signal-Processing Quantum Model,0.5460690259933472,377,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
151,37,Thin-Film Hydrodynamics,0.551693856716156,59,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
153,91,Excited Electron Dynamics,0.6739168763160706,208,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
154,39,Anomalous Scaling Turbulence,0.6078943014144897,66,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
155,121,Singularity Reinterpretation,0.563696563243866,290,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
157,12,Fermi Gas Stability,0.5101670622825623,18,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
160,1,Plasma Beam Interactions,0.5548449754714966,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
161,3,Quantum Corrections,0.5338780879974365,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
164,3,Quantum Corrections,0.6565274000167847,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
166,36,Mass-Energy Relationships,0.5211087465286255,55,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
169,59,Ferromagnetic Gravitational Sensors,0.6278471350669861,122,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
173,49,Turbid Media Imaging,0.5012166500091553,87,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
177,59,Ferromagnetic Gravitational Sensors,0.5488771796226501,122,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
181,56,Accelerator Control Migration,0.5303205847740173,114,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
182,5,DNA Conformational Dynamics,0.5826890468597412,8,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
185,179,Photon Duality Interpretation,0.5234124660491943,473,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
187,18,Free Electron Laser Synchrotron,0.5492264628410339,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
189,20,Deforming Reference Frame Dynamics,0.5575827360153198,32,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
191,35,Pulse-Level Beam Feedback,0.5604307055473328,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
192,78,Tokamak Flow Barriers,0.5216913223266602,180,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
193,115,Complementary Media Cloaking,0.5133487582206726,276,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
194,185,Rydberg Excitation Dynamics,0.7015520930290222,490,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
198,19,Algebraic Products and Angular Momentum Separation,0.6015620231628418,31,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
199,4,Newtonian Geometric Gravity,0.5405696630477905,7,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
201,60,Light-Matter Coupling Dynamics,0.5415995121002197,127,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
202,130,Bessel Pulse Dynamics,0.5519591569900513,321,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
204,3,Quantum Corrections,0.6101827621459961,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
206,4,Newtonian Geometric Gravity,0.6757142543792725,7,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
209,29,Micromaser Dynamics,0.7970552444458008,46,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
210,14,Lanczos Eigenvalue Methods,0.8179925680160522,21,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
212,45,Polymer Entropic Mechanics,0.650639533996582,78,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
216,44,Thermal Fluorescence Dynamics,0.6532904505729675,77,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
225,5,DNA Conformational Dynamics,0.7914212942123413,8,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
226,35,Pulse-Level Beam Feedback,0.5112342834472656,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
228,39,Anomalous Scaling Turbulence,0.6508548259735107,66,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
229,166,Gravitational Constant Fluctuations,0.5817327499389648,424,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
230,46,Gravitational-Wave Absorption Dynamics,0.5275874137878418,79,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
233,7,Optical Trapping Cooling,0.5150954127311707,12,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
234,58,Three-Body Virtual States,0.5940580368041992,121,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
236,36,Mass-Energy Relationships,0.5403473377227783,55,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
240,10,Quantum Tunneling Dynamics,0.7170991897583008,15,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
244,3,Quantum Corrections,0.6673380136489868,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
245,83,Laser-Induced Photon Polarization,0.6294907331466675,192,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
246,30,Nonlinear Breather Dynamics,0.5508996248245239,47,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
247,22,Rotating Flow Dynamics,0.5269593000411987,36,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
253,39,Anomalous Scaling Turbulence,0.7263763546943665,66,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
256,35,Pulse-Level Beam Feedback,0.5923202633857727,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
258,6,Bell-Inequality Tests,0.5016224384307861,11,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
259,18,Free Electron Laser Synchrotron,0.5407199263572693,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
262,9,Nonlinear Harmonic Generation,0.523736298084259,14,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
263,22,Rotating Flow Dynamics,0.5237392783164978,36,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
264,18,Free Electron Laser Synchrotron,0.5133771896362305,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
266,3,Quantum Corrections,0.6563165783882141,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
267,40,High-Order Turbulence Moments,0.5414642691612244,68,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
269,8,Electrode Dynamics,0.5811156630516052,13,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
271,1,Plasma Beam Interactions,0.5624669790267944,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
272,135,Noise-Based Logic Systems,0.5351613759994507,338,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
273,45,Polymer Entropic Mechanics,0.8015177249908447,78,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
277,26,Magnetic Field Symmetry Breaking,0.6582473516464233,40,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
279,18,Free Electron Laser Synchrotron,0.5438925623893738,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
282,93,Noise-Induced Phase Transitions,0.5397477149963379,210,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
283,119,Laser-Plasma Anharmonic Resonance,0.5256401300430298,285,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
284,3,Quantum Corrections,0.6229408979415894,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
286,59,Ferromagnetic Gravitational Sensors,0.5139115452766418,122,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
289,14,Lanczos Eigenvalue Methods,0.5799611806869507,21,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
290,56,Accelerator Control Migration,0.620425820350647,114,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
291,86,Cosmic Thermodynamics,0.5279287695884705,199,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
292,173,Protein Graph Decomposition,0.6412924528121948,455,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
294,1,Plasma Beam Interactions,0.5348690748214722,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
297,22,Rotating Flow Dynamics,0.5795117616653442,36,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
298,79,Forbidden Transition Spectroscopy,0.5699830055236816,182,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
299,25,Proton Stopping Dynamics,0.7385262250900269,39,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
301,63,Mirror Matter Phenomena,0.5368340611457825,139,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
302,18,Free Electron Laser Synchrotron,0.5569751262664795,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
303,35,Pulse-Level Beam Feedback,0.585336446762085,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
305,10,Quantum Tunneling Dynamics,0.5232394933700562,15,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
309,18,Free Electron Laser Synchrotron,0.5512982606887817,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
312,23,Optical Logic Gates,0.5276696681976318,37,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
314,26,Magnetic Field Symmetry Breaking,0.5662637948989868,40,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
316,3,Quantum Corrections,0.542129635810852,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
318,36,Mass-Energy Relationships,0.5964642763137817,55,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
322,125,Non-Dual Field Theory,0.5545429587364197,306,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
323,1,Plasma Beam Interactions,0.5215926766395569,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
325,18,Free Electron Laser Synchrotron,0.5718852281570435,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
326,18,Free Electron Laser Synchrotron,0.5224930047988892,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
330,3,Quantum Corrections,0.6559120416641235,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
335,154,Meta-Physical Foundations,0.5182448625564575,388,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
336,26,Magnetic Field Symmetry Breaking,0.5243995785713196,40,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
342,78,Tokamak Flow Barriers,0.5637959837913513,180,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
343,6,Bell-Inequality Tests,0.5180583596229553,11,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
347,97,Nonlinear Beam Interactions,0.51108717918396,219,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
351,35,Pulse-Level Beam Feedback,0.5611826777458191,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
354,45,Polymer Entropic Mechanics,0.5918079018592834,78,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
356,3,Quantum Corrections,0.553101122379303,6,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
360,35,Pulse-Level Beam Feedback,0.5190528631210327,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
362,18,Free Electron Laser Synchrotron,0.5125561356544495,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
366,84,Seismic Network Analysis,0.5998374819755554,193,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
367,18,Free Electron Laser Synchrotron,0.5595573782920837,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
368,78,Tokamak Flow Barriers,0.5196411609649658,180,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
370,18,Free Electron Laser Synchrotron,0.7506207227706909,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
371,10,Quantum Tunneling Dynamics,0.5451470017433167,15,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
372,83,Laser-Induced Photon Polarization,0.6382571458816528,192,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
376,33,Pixel Detector Calibration,0.5596268177032471,50,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
378,125,Non-Dual Field Theory,0.5928552746772766,306,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
382,28,Beam Polarization Advances,0.5868239402770996,42,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
383,48,Bimetallic Cluster Magnetism,0.6045937538146973,84,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
384,125,Non-Dual Field Theory,0.5225032567977905,306,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
385,4,Newtonian Geometric Gravity,0.6025223135948181,7,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
387,7,Optical Trapping Cooling,0.6421406269073486,12,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
388,42,Methane Dissociation Dynamics,0.8422399163246155,70,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
390,1,Plasma Beam Interactions,0.5873047113418579,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
391,18,Free Electron Laser Synchrotron,0.5523862838745117,30,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
393,72,Coherent Medium Amplification,0.5493208169937134,166,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
396,35,Pulse-Level Beam Feedback,0.5787846446037292,54,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
398,158,Excited State Perturbation Theory,0.6234235167503357,406,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
401,86,Cosmic Thermodynamics,0.6450625658035278,199,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
402,76,Chaotic Dynamo Reversals,0.5117865800857544,177,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
407,67,Tubular Polymer Conformation,0.5045517683029175,149,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
408,36,Mass-Energy Relationships,0.508612871170044,55,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
411,1,Plasma Beam Interactions,0.7520161867141724,4,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
413,119,Laser-Plasma Anharmonic Resonance,0.6193376183509827,285,physics,all_mpnet_base_v2,150,"(1, 1)",10000,0.7046069595539346,0.9869779880681797
